date,store_sales_usd,foot_traffic_count,promotion_active,discount_percentage
2023-03-02,1764.11,906,0,0.0
2023-03-03,1265.9,578,0,0.0
2023-03-04,1107.88,537,0,0.0
2023-03-05,1350.34,583,0,0.0
2023-03-06,1359.06,676,0,0.0
2023-03-07,1785.65,845,0,0.0
2023-03-08,1710.01,828,0,0.0
2023-03-09,1493.03,674,0,0.0
2023-03-10,1479.19,615,0,0.0
2023-03-11,1858.29,855,1,12.0
2023-03-12,1319.88,526,0,0.0
2023-03-13,1514.04,668,0,0.0
2023-03-14,1770.79,805,0,0.0
2023-03-15,1685.8,854,0,0.0
2023-03-16,1634.45,748,0,0.0
2023-03-17,1294.24,588,0,0.0
2023-03-18,1098.34,492,0,0.0
2023-03-19,1303.38,533,0,0.0
2023-03-20,1600.71,724,0,0.0
2023-03-21,2314.83,1046,1,24.0
2023-03-22,1789.24,766,0,0.0
2023-03-23,2155.49,923,1,11.8
2023-03-24,1389.33,606,0,0.0
2023-03-25,1289.67,583,0,0.0
2023-03-26,1952.42,860,1,18.9
2023-03-27,2169.44,934,1,29.5
2023-03-28,1712.97,782,0,0.0
2023-03-29,1770.32,818,0,0.0
2023-03-30,1725.48,781,0,0.0
2023-03-31,1468.19,638,0,0.0
2023-04-01,1228.76,577,0,0.0
2023-04-02,1267.83,563,0,0.0
2023-04-03,1631.21,686,0,0.0
2023-04-04,1744.83,827,0,0.0
2023-04-05,1892.35,866,0,0.0
2023-04-06,1660.42,742,0,0.0
2023-04-07,1328.12,535,0,0.0
2023-04-08,1379.36,591,0,0.0
2023-04-09,1318.56,674,0,0.0
2023-04-10,1487.18,609,0,0.0
2023-04-11,1667.74,740,0,0.0
2023-04-12,1734.04,780,0,0.0
2023-04-13,1645.27,753,0,0.0
2023-04-14,1568.86,646,0,0.0
2023-04-15,1805.71,820,1,26.2
2023-04-16,1426.05,574,0,0.0
2023-04-17,1534.06,694,0,0.0
2023-04-18,1684.19,732,0,0.0
2023-04-19,1798.25,775,0,0.0
2023-04-20,1570.69,740,0,0.0
2023-04-21,1943.64,865,1,12.0
2023-04-22,1178.1,549,0,0.0
2023-04-23,1153.63,539,0,0.0
2023-04-24,1660.44,798,0,0.0
2023-04-25,1789.68,757,0,0.0
2023-04-26,2374.54,1105,1,25.2
2023-04-27,1683.48,758,0,0.0
2023-04-28,1337.08,587,0,0.0
2023-04-29,1026.32,416,0,0.0
2023-04-30,1532.76,714,0,0.0
2023-05-01,1544.13,658,0,0.0
2023-05-02,1714.48,792,0,0.0
2023-05-03,1662.79,825,0,0.0
2023-05-04,1533.54,729,0,0.0
2023-05-05,1522.89,741,0,0.0
2023-05-06,1946.05,847,1,23.0
2023-05-07,1341.67,634,0,0.0
2023-05-08,1424.24,595,0,0.0
2023-05-09,1866.19,830,0,0.0
2023-05-10,1836.6,896,0,0.0
2023-05-11,1687.9,735,0,0.0
2023-05-12,1407.99,678,0,0.0
2023-05-13,1086.44,530,0,0.0
2023-05-14,1166.01,568,0,0.0
2023-05-15,1452.44,603,0,0.0
2023-05-16,1776.06,820,0,0.0
2023-05-17,1668.73,745,0,0.0
2023-05-18,1599.42,763,0,0.0
2023-05-19,1935.49,805,1,26.4
2023-05-20,1247.16,576,0,0.0
2023-05-21,1291.99,590,0,0.0
2023-05-22,1388.02,545,0,0.0
2023-05-23,1815.31,781,0,0.0
2023-05-24,1660.57,674,0,0.0
2023-05-25,1674.74,725,0,0.0
2023-05-26,1278.99,598,0,0.0
2023-05-27,1169.71,534,0,0.0
2023-05-28,1828.44,830,1,26.8
2023-05-29,1456.5,614,0,0.0
2023-05-30,1724.9,821,0,0.0
2023-05-31,1755.83,789,0,0.0
2023-06-01,1620.47,731,0,0.0
2023-06-02,1330.14,636,0,0.0
2023-06-03,1024.97,422,0,0.0
2023-06-04,1201.05,550,0,0.0
2023-06-05,1364.26,631,0,0.0
2023-06-06,1550.48,676,0,0.0
2023-06-07,2269.21,1047,1,21.3
2023-06-08,1539.95,712,0,0.0
2023-06-09,1280.09,572,0,0.0
2023-06-10,1777.4,795,1,28.3
2023-06-11,1850.5,854,1,11.1
2023-06-12,1402.39,663,0,0.0
2023-06-13,1646.39,743,0,0.0
2023-06-14,1665.53,794,0,0.0
2023-06-15,1551.89,725,0,0.0
2023-06-16,1264.02,497,0,0.0
2023-06-17,1053.24,418,0,0.0
2023-06-18,1282.51,624,0,0.0
2023-06-19,1296.0,573,0,0.0
2023-06-20,1685.37,765,0,0.0
2023-06-21,1513.34,727,0,0.0
2023-06-22,1519.18,683,0,0.0
2023-06-23,1903.39,858,1,10.5
2023-06-24,1468.26,626,1,25.6
2023-06-25,1084.55,503,0,0.0
2023-06-26,1359.88,635,0,0.0
2023-06-27,1552.0,675,0,0.0
2023-06-28,1614.66,690,0,0.0
2023-06-29,1427.62,747,0,0.0
2023-06-30,1063.48,475,0,0.0
2023-07-01,1172.77,500,0,0.0
2023-07-02,995.59,476,0,0.0
2023-07-03,1899.77,853,1,22.5
2023-07-04,1442.46,606,0,0.0
2023-07-05,1364.7,633,0,0.0
2023-07-06,1305.13,553,0,0.0
2023-07-07,997.59,512,0,0.0
2023-07-08,1033.07,485,0,0.0
2023-07-09,949.79,416,0,0.0
2023-07-10,1186.44,538,0,0.0
2023-07-11,1371.67,653,0,0.0
2023-07-12,1516.99,690,0,0.0
2023-07-13,1884.58,933,1,23.5
2023-07-14,1155.71,566,0,0.0
2023-07-15,932.96,439,0,0.0
2023-07-16,1515.8,645,1,18.2
2023-07-17,1258.95,561,0,0.0
2023-07-18,1420.99,659,0,0.0
2023-07-19,1474.91,631,0,0.0
2023-07-20,1188.81,587,0,0.0
2023-07-21,1034.78,427,0,0.0
2023-07-22,898.9,379,0,0.0
2023-07-23,1032.85,442,0,0.0
2023-07-24,1095.66,523,0,0.0
2023-07-25,1567.75,673,0,0.0
2023-07-26,2083.18,865,1,14.2
2023-07-27,1150.0,561,0,0.0
2023-07-28,938.9,405,0,0.0
2023-07-29,953.22,386,0,0.0
2023-07-30,992.32,416,0,0.0
2023-07-31,1124.31,575,0,0.0
2023-08-01,1364.92,588,0,0.0
2023-08-02,1313.25,586,0,0.0
2023-08-03,1345.45,588,0,0.0
2023-08-04,896.07,354,0,0.0
2023-08-05,876.11,365,0,0.0
2023-08-06,970.45,385,0,0.0
2023-08-07,1096.57,532,0,0.0
2023-08-08,1400.64,634,0,0.0
2023-08-09,2125.0,1056,1,23.3
2023-08-10,1232.41,526,0,0.0
2023-08-11,1532.8,655,1,14.7
2023-08-12,775.41,410,0,0.0
2023-08-13,775.58,391,0,0.0
2023-08-14,1004.73,468,0,0.0
2023-08-15,1332.4,555,0,0.0
2023-08-16,1338.39,672,0,0.0
2023-08-17,1212.05,543,0,0.0
2023-08-18,803.06,344,0,0.0
2023-08-19,749.36,383,0,0.0
2023-08-20,894.01,401,0,0.0
2023-08-21,953.64,383,0,0.0
2023-08-22,1876.12,846,1,24.0
2023-08-23,1181.54,500,0,0.0
2023-08-24,1060.43,357,0,0.0
2023-08-25,966.52,400,0,0.0
2023-08-26,1312.31,569,1,22.1
2023-08-27,938.31,376,0,0.0
2023-08-28,1059.35,500,0,0.0
2023-08-29,1299.51,554,0,0.0
2023-08-30,1226.73,571,0,0.0
2023-08-31,1717.68,724,1,28.3
2023-09-01,827.61,409,0,0.0
2023-09-02,636.83,236,0,0.0
2023-09-03,831.37,280,0,0.0
2023-09-04,1080.34,536,0,0.0
2023-09-05,1876.12,810,1,13.7
2023-09-06,1834.48,896,1,12.5
2023-09-07,1163.56,546,0,0.0
2023-09-08,722.56,357,0,0.0
2023-09-09,818.01,410,0,0.0
2023-09-10,665.26,304,0,0.0
2023-09-11,1513.16,686,1,20.5
2023-09-12,1245.81,612,0,0.0
2023-09-13,1310.2,594,0,0.0
2023-09-14,1125.2,477,0,0.0
2023-09-15,781.46,375,0,0.0
2023-09-16,1398.32,545,1,29.8
2023-09-17,630.52,337,0,0.0
2023-09-18,881.2,450,0,0.0
2023-09-19,1225.9,600,0,0.0
2023-09-20,1191.4,583,0,0.0
2023-09-21,1228.31,549,0,0.0
2023-09-22,776.3,345,0,0.0
2023-09-23,833.31,326,0,0.0
2023-09-24,850.11,452,0,0.0
2023-09-25,1701.39,746,1,14.6
2023-09-26,1988.96,909,1,19.7
2023-09-27,1303.39,597,0,0.0
2023-09-28,1054.64,421,0,0.0
2023-09-29,1468.32,591,1,26.4
2023-09-30,670.24,302,0,0.0
2023-10-01,718.22,305,0,0.0
2023-10-02,1023.14,457,0,0.0
2023-10-03,1822.36,863,1,19.4
2023-10-04,1246.86,570,0,0.0
2023-10-05,1127.01,537,0,0.0
2023-10-06,932.27,437,0,0.0
2023-10-07,804.71,349,0,0.0
2023-10-08,660.17,257,0,0.0
2023-10-09,1601.08,731,1,11.5
2023-10-10,1251.09,566,0,0.0
2023-10-11,1228.35,589,0,0.0
2023-10-12,1753.81,783,1,17.2
2023-10-13,917.76,401,0,0.0
2023-10-14,788.08,345,0,0.0
2023-10-15,813.77,329,0,0.0
2023-10-16,974.88,497,0,0.0
2023-10-17,1444.18,695,0,0.0
2023-10-18,2010.92,856,1,16.8
2023-10-19,1230.04,586,0,0.0
2023-10-20,1009.54,380,0,0.0
2023-10-21,790.18,395,0,0.0
2023-10-22,935.32,393,0,0.0
2023-10-23,1075.51,498,0,0.0
2023-10-24,1909.76,782,1,14.8
2023-10-25,1422.58,592,0,0.0
2023-10-26,1339.88,622,0,0.0
2023-10-27,1078.83,457,0,0.0
2023-10-28,847.52,348,0,0.0
2023-10-29,903.99,463,0,0.0
2023-10-30,1157.64,609,0,0.0
2023-10-31,1420.21,677,0,0.0
2023-11-01,1508.14,635,0,0.0
2023-11-02,1828.05,893,1,19.5
2023-11-03,1097.25,431,0,0.0
2023-11-04,862.19,376,0,0.0
2023-11-05,950.11,430,0,0.0
2023-11-06,1248.59,639,0,0.0
2023-11-07,2037.9,954,1,23.0
2023-11-08,1514.98,663,0,0.0
2023-11-09,1253.97,526,0,0.0
2023-11-10,1150.49,558,0,0.0
2023-11-11,929.89,397,0,0.0
2023-11-12,948.26,435,0,0.0
2023-11-13,1266.91,515,0,0.0
2023-11-14,1626.59,755,0,0.0
2023-11-15,1390.25,645,0,0.0
2023-11-16,1263.51,519,0,0.0
2023-11-17,1288.74,621,0,0.0
2023-11-18,952.26,451,0,0.0
2023-11-19,997.93,479,0,0.0
2023-11-20,1214.66,531,0,0.0
2023-11-21,1561.87,710,0,0.0
2023-11-22,1738.86,785,0,0.0
2023-11-23,1321.34,589,0,0.0
2023-11-24,1113.45,508,0,0.0
2023-11-25,937.88,472,0,0.0
2023-11-26,1689.62,803,1,15.9
2023-11-27,1370.52,569,0,0.0
2023-11-28,1644.2,779,0,0.0
2023-11-29,1641.11,786,0,0.0
2023-11-30,2226.39,996,1,22.9
2023-12-01,1125.97,527,0,0.0
2023-12-02,950.38,447,0,0.0
2023-12-03,1200.17,506,0,0.0
2023-12-04,1934.61,855,1,19.3
2023-12-05,1456.93,686,0,0.0
2023-12-06,1607.36,703,0,0.0
2023-12-07,1498.55,713,0,0.0
2023-12-08,1173.88,580,0,0.0
2023-12-09,989.96,491,0,0.0
2023-12-10,1120.35,583,0,0.0
2023-12-11,1894.3,849,1,21.9
2023-12-12,1672.81,760,0,0.0
2023-12-13,1532.45,702,0,0.0
2023-12-14,1540.94,691,0,0.0
2023-12-15,1923.03,887,1,10.6
2023-12-16,1720.04,706,1,15.9
2023-12-17,1280.83,585,0,0.0
2023-12-18,1326.47,542,0,0.0
2023-12-19,1622.79,692,0,0.0
2023-12-20,1718.65,803,0,0.0
2023-12-21,1648.02,734,0,0.0
2023-12-22,1356.43,638,0,0.0
2023-12-23,1356.41,602,0,0.0
2023-12-24,1186.73,578,0,0.0
2023-12-25,1382.48,613,0,0.0
2023-12-26,1880.1,768,0,0.0
2023-12-27,1688.79,769,0,0.0
2023-12-28,2303.96,950,1,15.2
2023-12-29,1319.06,535,0,0.0
2023-12-30,1677.88,720,1,20.2
2023-12-31,1279.75,536,0,0.0
2024-01-01,1626.34,710,0,0.0
2024-01-02,1699.57,723,0,0.0
2024-01-03,1909.7,803,0,0.0
2024-01-04,1770.7,858,0,0.0
2024-01-05,1355.96,583,0,0.0
2024-01-06,1885.51,759,1,14.3
2024-01-07,1496.17,659,0,0.0
2024-01-08,1664.92,704,0,0.0
2024-01-09,1834.81,790,0,0.0
2024-01-10,1955.17,908,0,0.0
2024-01-11,1713.08,753,0,0.0
2024-01-12,1604.92,676,0,0.0
2024-01-13,1450.79,671,0,0.0
2024-01-14,1437.53,693,0,0.0
2024-01-15,1689.03,782,0,0.0
2024-01-16,1833.36,727,0,0.0
2024-01-17,1871.13,797,0,0.0
2024-01-18,1794.92,810,0,0.0
2024-01-19,2165.77,965,1,23.4
2024-01-20,1503.45,663,0,0.0
2024-01-21,1558.12,662,0,0.0
2024-01-22,2341.58,997,1,14.0
2024-01-23,2064.46,1009,0,0.0
2024-01-24,1959.49,883,0,0.0
2024-01-25,1966.62,911,0,0.0
2024-01-26,2164.6,974,1,24.6
2024-01-27,1572.38,709,0,0.0
2024-01-28,1537.69,689,0,0.0
2024-01-29,1621.01,685,0,0.0
2024-01-30,2081.35,876,0,0.0
2024-01-31,2153.08,984,0,0.0
2024-02-01,1896.88,861,0,0.0
2024-02-02,1650.71,780,0,0.0
2024-02-03,1512.6,710,0,0.0
2024-02-04,1436.48,614,0,0.0
2024-02-05,1643.0,785,0,0.0
2024-02-06,2177.93,1011,0,0.0
2024-02-07,2072.8,960,0,0.0
2024-02-08,2131.76,1049,0,0.0
2024-02-09,1839.49,910,0,0.0
2024-02-10,1699.7,792,0,0.0
2024-02-11,1586.93,737,0,0.0
2024-02-12,1751.46,831,0,0.0
2024-02-13,2634.27,1162,1,12.8
2024-02-14,2149.89,945,0,0.0
2024-02-15,1839.82,855,0,0.0
2024-02-16,1737.61,748,0,0.0
2024-02-17,1603.4,745,0,0.0
2024-02-18,1580.03,717,0,0.0
2024-02-19,1840.93,794,0,0.0
2024-02-20,2747.01,1237,1,13.1
2024-02-21,2856.95,1338,1,13.4
2024-02-22,2000.62,904,0,0.0
2024-02-23,1840.61,832,0,0.0
2024-02-24,1671.43,765,0,0.0
2024-02-25,1727.64,796,0,0.0
2024-02-26,1911.66,847,0,0.0
2024-02-27,2096.98,958,0,0.0
2024-02-28,2402.47,1039,0,0.0
2024-02-29,2159.95,940,0,0.0
2024-03-01,2534.63,1114,1,14.3
2024-03-02,1690.05,779,0,0.0
2024-03-03,1746.32,792,0,0.0
2024-03-04,2037.91,912,0,0.0
2024-03-05,2690.99,1239,1,12.2
2024-03-06,2810.98,1280,1,17.3
2024-03-07,2078.37,924,0,0.0
2024-03-08,2449.73,1061,1,16.6
2024-03-09,1657.54,713,0,0.0
2024-03-10,1816.49,759,0,0.0
2024-03-11,2034.84,921,0,0.0
2024-03-12,2378.11,1036,0,0.0
2024-03-13,2526.2,1117,0,0.0
2024-03-14,2068.53,926,0,0.0
2024-03-15,1924.47,908,0,0.0
2024-03-16,1765.37,832,0,0.0
2024-03-17,1813.75,814,0,0.0
2024-03-18,1965.77,935,0,0.0
2024-03-19,2216.73,917,0,0.0
2024-03-20,2370.16,1142,0,0.0
2024-03-21,2115.76,980,0,0.0
2024-03-22,2546.45,1150,1,20.6
2024-03-23,1754.26,754,0,0.0
2024-03-24,1845.62,813,0,0.0
2024-03-25,1994.88,922,0,0.0
2024-03-26,2920.48,1339,1,14.5
2024-03-27,2297.4,1061,0,0.0
2024-03-28,2820.37,1240,1,10.2
2024-03-29,2056.17,888,0,0.0
2024-03-30,2409.3,1092,1,23.7
2024-03-31,1873.69,874,0,0.0
2024-04-01,2749.35,1237,1,21.4
2024-04-02,2207.6,1053,0,0.0
2024-04-03,3116.56,1404,1,29.6
2024-04-04,2133.41,960,0,0.0
2024-04-05,2028.91,940,0,0.0
2024-04-06,1856.86,884,0,0.0
2024-04-07,1783.63,749,0,0.0
2024-04-08,2171.72,933,0,0.0
2024-04-09,2365.92,1052,0,0.0
2024-04-10,2535.64,1267,0,0.0
2024-04-11,2837.89,1267,1,16.0
2024-04-12,1953.59,874,0,0.0
2024-04-13,1758.85,816,0,0.0
2024-04-14,2318.45,1082,1,19.9
2024-04-15,2066.84,937,0,0.0
2024-04-16,2304.5,1084,0,0.0
2024-04-17,3005.07,1305,1,15.4
2024-04-18,2107.44,918,0,0.0
2024-04-19,1941.22,920,0,0.0
2024-04-20,2443.4,1100,1,17.3
2024-04-21,2508.43,1078,1,22.4
2024-04-22,1939.2,820,0,0.0
2024-04-23,2377.98,1038,0,0.0
2024-04-24,2358.5,1061,0,0.0
2024-04-25,2199.83,1009,0,0.0
2024-04-26,1763.75,781,0,0.0
2024-04-27,1908.59,874,0,0.0
2024-04-28,1859.57,819,0,0.0
2024-04-29,1955.76,929,0,0.0
2024-04-30,2341.03,1156,0,0.0
2024-05-01,2994.58,1332,1,29.2
2024-05-02,2900.5,1324,1,27.0
2024-05-03,1915.47,878,0,0.0
2024-05-04,1776.67,805,0,0.0
2024-05-05,1779.9,827,0,0.0
2024-05-06,2111.3,969,0,0.0
2024-05-07,2232.82,986,0,0.0
2024-05-08,2279.38,1078,0,0.0
2024-05-09,2180.38,989,0,0.0
2024-05-10,1824.61,806,0,0.0
2024-05-11,1885.65,946,0,0.0
2024-05-12,1966.61,880,0,0.0
2024-05-13,2007.63,914,0,0.0
2024-05-14,2164.38,981,0,0.0
2024-05-15,2356.92,1055,0,0.0
2024-05-16,2125.79,975,0,0.0
2024-05-17,1994.59,864,0,0.0
2024-05-18,2271.84,1046,1,25.0
2024-05-19,1832.73,754,0,0.0
2024-05-20,2029.18,861,0,0.0
2024-05-21,2796.78,1332,1,21.8
2024-05-22,2324.21,996,0,0.0
2024-05-23,2209.1,916,0,0.0
2024-05-24,1881.48,797,0,0.0
2024-05-25,1715.97,842,0,0.0
2024-05-26,1692.2,690,0,0.0
2024-05-27,2083.95,900,0,0.0
2024-05-28,2906.3,1250,1,11.6
2024-05-29,2243.52,999,0,0.0
2024-05-30,2699.76,1197,1,14.7
2024-05-31,2558.09,1132,1,14.8
2024-06-01,2187.47,1059,1,19.9
2024-06-02,1779.9,753,0,0.0
2024-06-03,1916.82,858,0,0.0
2024-06-04,2333.66,1064,0,0.0
2024-06-05,2249.72,973,0,0.0
2024-06-06,2778.42,1270,1,21.9
2024-06-07,1751.55,772,0,0.0
2024-06-08,1545.42,710,0,0.0
2024-06-09,2279.6,1022,1,28.6
2024-06-10,1948.98,795,0,0.0
2024-06-11,2116.68,1005,0,0.0
2024-06-12,2271.12,1105,0,0.0
2024-06-13,2026.3,905,0,0.0
2024-06-14,1611.16,689,0,0.0
2024-06-15,1654.47,805,0,0.0
2024-06-16,2192.42,1062,1,10.6
2024-06-17,1863.47,832,0,0.0
2024-06-18,2245.99,1002,0,0.0
2024-06-19,2316.26,1039,0,0.0
2024-06-20,1960.83,815,0,0.0
2024-06-21,1787.48,793,0,0.0
2024-06-22,1529.47,757,0,0.0
2024-06-23,1603.32,715,0,0.0
2024-06-24,1807.03,772,0,0.0
2024-06-25,1946.75,896,0,0.0
2024-06-26,2144.87,939,0,0.0
2024-06-27,1992.65,894,0,0.0
2024-06-28,1650.21,692,0,0.0
2024-06-29,1623.23,689,0,0.0
2024-06-30,2153.86,999,1,11.9
2024-07-01,1766.94,800,0,0.0
2024-07-02,2089.21,909,0,0.0
2024-07-03,2576.23,1164,1,10.5
2024-07-04,2004.49,878,0,0.0
2024-07-05,2234.09,974,1,19.6
2024-07-06,1577.73,757,0,0.0
2024-07-07,2254.22,1046,1,14.4
2024-07-08,1831.6,823,0,0.0
2024-07-09,1944.66,881,0,0.0
2024-07-10,2562.18,1153,1,29.7
2024-07-11,2379.93,1090,1,22.0
2024-07-12,1717.3,741,0,0.0
2024-07-13,2050.73,957,1,21.2
2024-07-14,1466.29,674,0,0.0
2024-07-15,1733.02,769,0,0.0
2024-07-16,2059.43,907,0,0.0
2024-07-17,2088.09,973,0,0.0
2024-07-18,1893.46,846,0,0.0
2024-07-19,1644.02,712,0,0.0
2024-07-20,1440.07,633,0,0.0
2024-07-21,1502.77,707,0,0.0
2024-07-22,1725.89,712,0,0.0
2024-07-23,1937.86,858,0,0.0
2024-07-24,2051.21,966,0,0.0
2024-07-25,1852.72,827,0,0.0
2024-07-26,1488.27,681,0,0.0
2024-07-27,1434.01,689,0,0.0
2024-07-28,1464.75,695,0,0.0
2024-07-29,1723.83,758,0,0.0
2024-07-30,1896.58,848,0,0.0
2024-07-31,2023.29,947,0,0.0
2024-08-01,1786.69,842,0,0.0
2024-08-02,2184.81,980,1,26.8
2024-08-03,1323.76,594,0,0.0
2024-08-04,1382.98,633,0,0.0
2024-08-05,1692.5,816,0,0.0
2024-08-06,1848.23,874,0,0.0
2024-08-07,2105.12,975,0,0.0
2024-08-08,1807.69,770,0,0.0
2024-08-09,1500.14,664,0,0.0
2024-08-10,1997.6,890,1,22.0
2024-08-11,1347.73,663,0,0.0
2024-08-12,1690.91,751,0,0.0
2024-08-13,1919.64,914,0,0.0
2024-08-14,2002.72,878,0,0.0
2024-08-15,1701.43,746,0,0.0
2024-08-16,1975.2,908,1,18.0
2024-08-17,1258.63,629,0,0.0
2024-08-18,1339.66,594,0,0.0
2024-08-19,1727.03,675,0,0.0
2024-08-20,2000.8,838,0,0.0
2024-08-21,1907.8,870,0,0.0
2024-08-22,1715.84,713,0,0.0
2024-08-23,1424.04,606,0,0.0
2024-08-24,1353.07,609,0,0.0
2024-08-25,1517.57,585,0,0.0
2024-08-26,1717.46,758,0,0.0
2024-08-27,1897.84,807,0,0.0
2024-08-28,1952.35,819,0,0.0
2024-08-29,1764.62,762,0,0.0
2024-08-30,2031.87,872,1,25.6
2024-08-31,1212.48,564,0,0.0
2024-09-01,1325.83,644,0,0.0
2024-09-02,2194.1,973,1,11.5
2024-09-03,1676.94,731,0,0.0
2024-09-04,1837.4,810,0,0.0
2024-09-05,1619.84,685,0,0.0
2024-09-06,1505.38,626,0,0.0
2024-09-07,1816.78,752,1,19.5
2024-09-08,1343.85,552,0,0.0
2024-09-09,1495.16,738,0,0.0
2024-09-10,2512.66,1103,1,13.1
2024-09-11,1705.96,650,0,0.0
2024-09-12,1717.12,749,0,0.0
2024-09-13,1316.01,529,0,0.0
2024-09-14,1214.71,549,0,0.0
2024-09-15,1329.58,596,0,0.0
2024-09-16,1567.87,708,0,0.0
2024-09-17,2400.26,1078,1,26.7
2024-09-18,1852.02,819,0,0.0
2024-09-19,1626.38,674,0,0.0
2024-09-20,1404.54,629,0,0.0
2024-09-21,1258.27,607,0,0.0
2024-09-22,1329.8,671,0,0.0
2024-09-23,2144.09,955,1,10.1
2024-09-24,1843.0,824,0,0.0
2024-09-25,1850.89,853,0,0.0
2024-09-26,1698.19,824,0,0.0
2024-09-27,1392.23,607,0,0.0
2024-09-28,1177.55,558,0,0.0
2024-09-29,1333.32,567,0,0.0
2024-09-30,1653.6,757,0,0.0
2024-10-01,1828.63,862,0,0.0
2024-10-02,1787.33,753,0,0.0
2024-10-03,2357.4,1040,1,25.6
2024-10-04,2007.0,941,1,27.8
2024-10-05,1930.71,893,1,20.6
2024-10-06,1304.12,628,0,0.0
2024-10-07,2198.71,1023,1,11.2
2024-10-08,1765.91,781,0,0.0
2024-10-09,1828.39,911,0,0.0
2024-10-10,1582.84,718,0,0.0
2024-10-11,1491.52,549,0,0.0
2024-10-12,1320.72,583,0,0.0
2024-10-13,1386.12,605,0,0.0
2024-10-14,1611.67,757,0,0.0
2024-10-15,1766.42,777,0,0.0
2024-10-16,1965.92,929,0,0.0
2024-10-17,1809.19,836,0,0.0
2024-10-18,2009.93,864,1,16.2
2024-10-19,1356.91,605,0,0.0
2024-10-20,1446.04,620,0,0.0
2024-10-21,1576.86,717,0,0.0
2024-10-22,1829.33,792,0,0.0
2024-10-23,1957.78,884,0,0.0
2024-10-24,1636.12,725,0,0.0
2024-10-25,1413.86,630,0,0.0
2024-10-26,1263.87,651,0,0.0
2024-10-27,1261.81,553,0,0.0
2024-10-28,1731.51,702,0,0.0
2024-10-29,2324.96,1087,1,23.0
2024-10-30,1974.23,929,0,0.0
2024-10-31,1854.36,755,0,0.0
2024-11-01,2110.66,922,1,18.4
2024-11-02,1323.52,613,0,0.0
2024-11-03,1458.8,677,0,0.0
2024-11-04,1680.23,756,0,0.0
2024-11-05,2000.36,901,0,0.0
2024-11-06,1773.28,760,0,0.0
2024-11-07,1753.39,693,0,0.0
2024-11-08,2217.22,1080,1,21.8
2024-11-09,2019.85,870,1,19.6
2024-11-10,1539.83,700,0,0.0
2024-11-11,1741.18,777,0,0.0
2024-11-12,2550.09,1183,1,22.8
2024-11-13,2000.81,905,0,0.0
2024-11-14,2054.95,931,0,0.0
2024-11-15,1737.77,677,0,0.0
2024-11-16,1498.74,641,0,0.0
2024-11-17,1529.83,718,0,0.0
2024-11-18,1807.76,840,0,0.0
2024-11-19,2072.08,894,0,0.0
2024-11-20,2704.13,1154,1,29.1
2024-11-21,1855.03,840,0,0.0
2024-11-22,1804.48,696,0,0.0
2024-11-23,1526.09,641,0,0.0
2024-11-24,1732.48,850,0,0.0
2024-11-25,1828.01,880,0,0.0
2024-11-26,2035.12,935,0,0.0
